"COUNTRY","Country","INDICATOR","Indicator","EDUCATION_LEV","Education level","SEX","Gender","MOBILITY","Mobility","EDUCATION_FIELD","Field","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F00","Generic programmes and qualifications","2021","2021",0.003,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F00","Generic programmes and qualifications","2013","2013",0,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F00","Generic programmes and qualifications","2014","2014",0,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F00","Generic programmes and qualifications","2015","2015",0.003,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F00","Generic programmes and qualifications","2016","2016",0.003,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F00","Generic programmes and qualifications","2017","2017",0.001,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F00","Generic programmes and qualifications","2018","2018",0.001,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F00","Generic programmes and qualifications","2019","2019",0.006,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F00","Generic programmes and qualifications","2020","2020",0.008,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F00","Generic programmes and qualifications","2021","2021",0.009,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F01","Education","2013","2013",10.006,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F01","Education","2014","2014",9.983,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F01","Education","2015","2015",11.277,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F01","Education","2016","2016",12.815,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F01","Education","2017","2017",13.751,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F01","Education","2018","2018",11.939,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F01","Education","2019","2019",11.901,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F01","Education","2020","2020",11.401,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F01","Education","2021","2021",10.788,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F01","Education","2013","2013",4.526,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F01","Education","2014","2014",4.543,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F01","Education","2015","2015",4.943,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F01","Education","2016","2016",4.785,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F01","Education","2017","2017",4.864,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F01","Education","2018","2018",4.158,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F01","Education","2019","2019",3.591,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F01","Education","2020","2020",3.676,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F01","Education","2021","2021",3.891,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F01","Education","2013","2013",7.684,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F01","Education","2014","2014",7.695,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F01","Education","2015","2015",8.608,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F01","Education","2016","2016",9.39,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F01","Education","2017","2017",9.997,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F01","Education","2018","2018",8.641,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F01","Education","2019","2019",8.365,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F01","Education","2020","2020",8.058,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F01","Education","2021","2021",7.818,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F02","Arts and humanities","2013","2013",10.683,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F02","Arts and humanities","2014","2014",10.851,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F02","Arts and humanities","2015","2015",11.738,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F02","Arts and humanities","2016","2016",12.081,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F02","Arts and humanities","2017","2017",11.748,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F02","Arts and humanities","2018","2018",13.47,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F02","Arts and humanities","2019","2019",11.619,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F02","Arts and humanities","2020","2020",10.549,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F02","Arts and humanities","2021","2021",10.235,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F02","Arts and humanities","2013","2013",8.629,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F02","Arts and humanities","2014","2014",9.025,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F02","Arts and humanities","2015","2015",9.247,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F02","Arts and humanities","2016","2016",9.19,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F02","Arts and humanities","2017","2017",9.314,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F02","Arts and humanities","2018","2018",10.204,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F02","Arts and humanities","2019","2019",9.008,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F02","Arts and humanities","2020","2020",7.434,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F02","Arts and humanities","2021","2021",7.18,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F02","Arts and humanities","2013","2013",9.813,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F02","Arts and humanities","2014","2014",10.083,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F02","Arts and humanities","2015","2015",10.689,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F02","Arts and humanities","2016","2016",10.848,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F02","Arts and humanities","2017","2017",10.72,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F02","Arts and humanities","2018","2018",12.086,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F02","Arts and humanities","2019","2019",10.508,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F02","Arts and humanities","2020","2020",9.201,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F02","Arts and humanities","2021","2021",8.92,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F03","Social sciences, journalism and information","2013","2013",7.396,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F03","Social sciences, journalism and information","2014","2014",7.145,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F03","Social sciences, journalism and information","2015","2015",8.486,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F03","Social sciences, journalism and information","2016","2016",8.265,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F03","Social sciences, journalism and information","2017","2017",8.155,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F03","Social sciences, journalism and information","2018","2018",6.919,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F03","Social sciences, journalism and information","2019","2019",6.507,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F03","Social sciences, journalism and information","2020","2020",6.681,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F03","Social sciences, journalism and information","2021","2021",7.103,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F03","Social sciences, journalism and information","2013","2013",5.003,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F03","Social sciences, journalism and information","2014","2014",4.82,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F03","Social sciences, journalism and information","2015","2015",5.886,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F03","Social sciences, journalism and information","2016","2016",5.587,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F03","Social sciences, journalism and information","2017","2017",5.508,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F03","Social sciences, journalism and information","2018","2018",4.749,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F03","Social sciences, journalism and information","2019","2019",4.229,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F03","Social sciences, journalism and information","2020","2020",4.199,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F03","Social sciences, journalism and information","2021","2021",4.456,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F03","Social sciences, journalism and information","2013","2013",6.382,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F03","Social sciences, journalism and information","2014","2014",6.167,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F03","Social sciences, journalism and information","2015","2015",7.39,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F03","Social sciences, journalism and information","2016","2016",7.123,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F03","Social sciences, journalism and information","2017","2017",7.037,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F03","Social sciences, journalism and information","2018","2018",5.999,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F03","Social sciences, journalism and information","2019","2019",5.538,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F03","Social sciences, journalism and information","2020","2020",5.607,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F03","Social sciences, journalism and information","2021","2021",5.963,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F04","Business, administration and law","2013","2013",35.714,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F04","Business, administration and law","2014","2014",34.273,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F04","Business, administration and law","2015","2015",31.376,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F04","Business, administration and law","2016","2016",30.89,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F04","Business, administration and law","2017","2017",30.498,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F04","Business, administration and law","2018","2018",32.649,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F04","Business, administration and law","2019","2019",33.369,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F04","Business, administration and law","2020","2020",33.788,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F04","Business, administration and law","2021","2021",32.912,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F04","Business, administration and law","2013","2013",40.836,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F04","Business, administration and law","2014","2014",39.432,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F04","Business, administration and law","2015","2015",38.095,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F04","Business, administration and law","2016","2016",37.576,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F04","Business, administration and law","2017","2017",37.324,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F04","Business, administration and law","2018","2018",40.358,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F04","Business, administration and law","2019","2019",40.583,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F04","Business, administration and law","2020","2020",40.253,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F04","Business, administration and law","2021","2021",39.491,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F04","Business, administration and law","2013","2013",37.884,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F04","Business, administration and law","2014","2014",36.442,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F04","Business, administration and law","2015","2015",34.208,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F04","Business, administration and law","2016","2016",33.742,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F04","Business, administration and law","2017","2017",33.381,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F04","Business, administration and law","2018","2018",35.916,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F04","Business, administration and law","2019","2019",36.438,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F04","Business, administration and law","2020","2020",36.586,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F04","Business, administration and law","2021","2021",35.744,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F05","Natural sciences, mathematics and statistics","2013","2013",3.993,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F05","Natural sciences, mathematics and statistics","2014","2014",4.078,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F05","Natural sciences, mathematics and statistics","2015","2015",5.37,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F05","Natural sciences, mathematics and statistics","2016","2016",5.347,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F05","Natural sciences, mathematics and statistics","2017","2017",5.353,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F05","Natural sciences, mathematics and statistics","2018","2018",4.41,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F05","Natural sciences, mathematics and statistics","2019","2019",4.198,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F05","Natural sciences, mathematics and statistics","2020","2020",4.197,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F05","Natural sciences, mathematics and statistics","2021","2021",4.402,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F05","Natural sciences, mathematics and statistics","2013","2013",5.172,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F05","Natural sciences, mathematics and statistics","2014","2014",5.293,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F05","Natural sciences, mathematics and statistics","2015","2015",7.18,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F05","Natural sciences, mathematics and statistics","2016","2016",7.15,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F05","Natural sciences, mathematics and statistics","2017","2017",6.953,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F05","Natural sciences, mathematics and statistics","2018","2018",5.798,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F05","Natural sciences, mathematics and statistics","2019","2019",5.513,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F05","Natural sciences, mathematics and statistics","2020","2020",5.31,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","M","Male","_T","Total","F05","Natural sciences, mathematics and statistics","2021","2021",5.489,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F05","Natural sciences, mathematics and statistics","2013","2013",4.493,,
"AUS","Australia","GRAD_SHARE_FIELDS","Distribution of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F05","Natural sciences, mathematics and statistics","2014","2014",4.589,,
